gig_type,mu,sigma,min,max,note,sigma_ln,mu_ln,mu_readable
ojek_online,700000,220000,250000,1800000,IDinsight 2025 net + Sakernas Jakarta transport,0.3069142994808906,13.411737420412619,Rp 700rb
kurir,730000,200000,250000,1800000,IDinsight 2025 net + CELIOS 2024,0.2690304668839491,13.464611117068676,Rp 730rb
freelancer_it,1550000,700000,300000,5500000,Sakernas Jakarta 2023 - sektor informasi & komunikasi,0.43082632025374695,14.160959829783737,Rp 1.6jt
freelancer_desain,1250000,600000,200000,4500000,Sakernas Jakarta 2023 - sektor jasa perusahaan,0.45534527533427027,13.934984449393863,Rp 1.2jt
content_creator,1100000,900000,0,6000000,Estimasi - midpoint transport & skilled,0.7158750951139897,13.654582161866367,Rp 1.1jt
jualan_online,900000,450000,100000,4000000,IDinsight 2025 casual + self-employed average,0.47238072707743883,13.598578266649344,Rp 900rb
