Model,MAE,RMSE,MAPE (%),R²
Linear Regression,1.8532024232426772e-09,2.362946371911697e-09,0.0,1.0
Lasso (α=100),502.5055115089118,672.9561143119801,0.02,1.0
Random Forest (Tuned),1916.848300400196,4166.982976109094,0.06,1.0
Random Forest,2103.9811123985974,4791.840394637652,0.06,1.0
Gradient Boosting,6326.202757693635,8457.082000913204,0.22,1.0
XGBoost (Tuned),10066.420408458864,18724.908682200385,0.32,0.9999
Ridge (α=1.0),12688.575868420121,17974.11512831541,0.41,0.9999
XGBoost,26942.097262456547,39979.80790928268,0.8,0.9994
