gig_type,n_respondents,avg_weekly_income,median_weekly_income,avg_monthly_income,income_cv,income_std
content_creator,38,294522.37,306250.0,1178089.47,0.39,98761.95
freelance_desain,82,451357.93,406250.0,1805431.71,0.28,124733.34
freelance_it,48,559235.42,530000.0,2236941.67,0.39,183490.5
jualan_online,97,421780.41,385000.0,1687121.65,0.31,109091.64
kurir,55,625572.73,603750.0,2502290.91,0.31,182820.86
ojek_online,77,760428.57,781550.0,3041714.29,0.28,195863.17
pekerja_harian,91,421137.36,388750.0,1684549.45,0.34,132430.05
tutor,47,294906.38,270000.0,1179625.53,0.36,99956.61
