original_label,mapped_code,n_respondents,mapped
Jualan online / reseller / toko online,jualan_online,75,True
Pekerja harian / event / part-time,pekerja_harian,31,True
Freelance desain / editing / ilustrasi,freelance_desain,43,True
Ojek online / driver aplikasi,ojek_online,37,True
Kurir / pengantar barang atau makanan,kurir,32,True
Freelance IT / website / programming / data,freelance_it,29,True
Tutor / guru les / pengajar lepas,tutor,27,True
Content creator / admin media sosial,content_creator,24,True
