provinsi,industri_idr,jasa_idr,tahun
Aceh,2100200.0,1328050.0,2024
Sumatera Utara,2116550.0,1629000.0,2024
Sumatera Barat,2034650.0,1450350.0,2024
Riau,2350850.0,1815800.0,2024
Jambi,2457550.0,1910500.0,2024
Sumatera Selatan,2029200.0,1475450.0,2024
Bengkulu,2147600.0,1680900.0,2024
Lampung,1955400.0,1435950.0,2024
Kep. Bangka Belitung,2285200.0,1906150.0,2024
Kep. Riau,2769950.0,1816900.0,2024
Dki Jakarta,2993650.0,2090600.0,2024
Jawa Barat,2045650.0,1330950.0,2024
Jawa Tengah,2109100.0,1303450.0,2024
Di Yogyakarta,1667950.0,940300.0,2024
Jawa Timur,2022350.0,1404450.0,2024
Banten,2484950.0,1667700.0,2024
Bali,2432900.0,1829350.0,2024
Nusa Tenggara Barat,1404200.0,1211350.0,2024
Nusa Tenggara Timur,1295600.0,1039700.0,2024
Kalimantan Barat,2322900.0,1470850.0,2024
Kalimantan Tengah,2742750.0,1954450.0,2024
Kalimantan Selatan,2087450.0,1405050.0,2024
Kalimantan Timur,3212950.0,2040800.0,2024
Kalimantan Utara,2445050.0,1779100.0,2024
Sulawesi Utara,2591050.0,1737350.0,2024
Sulawesi Tengah,1897650.0,1462300.0,2024
Sulawesi Selatan,2201800.0,2088750.0,2024
Sulawesi Tenggara,1949500.0,1505450.0,2024
Gorontalo,1605150.0,1022800.0,2024
Sulawesi Barat,1917400.0,1109550.0,2024
Maluku,2444400.0,1426650.0,2024
Maluku Utara,2161100.0,1848400.0,2024
Papua Barat,2814050.0,2470600.0,2024
Papua Barat Daya,2989500.0,2238600.0,2024
Papua,3148450.0,2873850.0,2024
Papua Selatan,2373100.0,1518500.0,2024
Papua Tengah,3873850.0,3762000.0,2024
Papua Pegunungan,,4948100.0,2024
