dataset,segment_type,segment_value,n_test,mae,rmse,mape,r2,within20,within30,normalized_mae,accuracy,macro_f1
real_4w,target_week_of_month,1,60,226271.0858,317376.3526,48.4381,0.4527,25.0,35.0,0.1404,65.0,48.5294
real_4w,target_week_of_month,2,54,222400.4653,335945.5744,53.3137,0.4719,24.0741,33.3333,0.1111,55.5556,50.8893
real_4w,target_week_of_month,4,60,186002.1807,283154.2145,50.0699,0.595,23.3333,38.3333,0.0547,60.0,44.582
real_4w,target_week_of_month,5,6,462495.5234,514001.4216,46.5466,-0.4972,0.0,16.6667,0.0441,33.3333,16.6667
