model_name,val_mae,val_rmse,val_mape,val_r2
XGBRegressor,42702.04836082176,90524.35956354719,11.919524962479528,0.9010582490792166
GradientBoostingRegressor,43701.80592866283,90929.32933261678,12.169054780997545,0.9001710173274212
RandomForestRegressor,44025.78364059069,91918.44728946159,12.244627942593372,0.8979873501830475
Ridge,99118.74359577957,195555.4638128813,25.745017706214508,0.5382694833141513
LinearRegression,99120.71265658738,195565.00104176183,25.745151496412827,0.5382244450736922
XGBRegressor [TEST],42931.33315429687,90467.85005942662,11.958744120437983,0.9091087222694089
