dataset_id,timestamp,tahun,bulan,tahun_bulan,tipe_transaksi,category,amount,metode_pembayaran,status_transaksi,sumber_file,source,hour,day_of_week,day_name,day_of_month,month,date_only,is_weekend,week_period,hour_sin,hour_cos,is_night,is_late_night,night_score,time_segment,category_score,category_type,is_hedonic_category,amount_log,amount_z,amount_score,amount_percentile,is_high_amount,user_proxy,transactions_same_day,daily_amount_total,share_of_daily_spend,amount_vs_weekly_avg,budget_limit,spent_so_far,budget_remaining_ratio,weekend_score,fingo_impulse_signal,signal_band,label
personal_finance,2023-10-08 00:00:00,2023,10,2023-10,Expense,Lainnya,1458.39,,Expense,personal_finance_clean.csv,personal_finance,0,6,Sunday,8,2023-10,2023-10-08,1,40,0.0,1.0,0,1,1.0,late_night,0.5,neutral,0,7.285773819177031,0.3748111365552465,0.5624685227592078,0.6433333333333333,0,personal_finance_unknown_unknown,3,6268.39,0.2326578276080089,0.9735932217296503,32688.022833333336,20656.54,0.3680700694158829,1.0,0.740617130689802,high,IMPULSIF
ecommerce_sales,2025-02-05 17:20:00,2025,2,2025-02,Sales,Belanja,20998.0,SPayLater,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,17,2,Wednesday,5,2025-02,2025-02-05,0,6,-0.9659258262890684,-0.2588190451025206,0,0,0.4166666666666666,evening,1.0,hedonic,1,9.95223009652412,-0.1752714315117654,0.4707880947480391,0.4254125412541254,0,ecommerce_sales_unknown_unknown,33,4626624.0,0.0045385144762141,0.2864949982472313,1392395.8305830583,7524710.0,0.0,0.0,0.563530357020343,watch,PERTIMBANGAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,20000.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.90353755128617,-0.2445470309766137,0.4592421615038977,0.3981298129812981,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0001969607013865,0.3491974480439243,1392395.8305830583,8121743.0,0.0,0.0,0.4731438737093077,low,AMAN
personal_finance,2022-03-17 00:00:00,2022,3,2022-03,Expense,Hiburan,23.59,,Expense,personal_finance_clean.csv,personal_finance,0,3,Thursday,17,2022-03,2022-03-17,0,11,0.0,1.0,0,1,1.0,late_night,1.0,hedonic,1,3.202339856228101,-1.405295179889259,0.2657841366851235,0.004,0,personal_finance_unknown_unknown,2,4434.59,0.0053195447606192,0.016811837744127,32688.022833333336,27131.55,0.169984977729121,0.0,0.7164460341712808,high,IMPULSIF
ecommerce_sales,2025-02-09 15:07:00,2025,2,2025-02,Sales,Belanja,16300.0,Saldo ShopeePay,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,15,6,Sunday,9,2025-02,2025-02-09,1,6,-0.7071067811865471,-0.7071067811865479,0,0,0.25,midday,1.0,hedonic,1,9.69898173460629,-0.5013804157661313,0.4164365973723114,0.1902090209020902,0,ecommerce_sales_unknown_unknown,23,2489380.0,0.0065478151186239,0.2223958696747247,1392395.8305830583,14572506.0,0.0,1.0,0.5916091493430778,watch,PERTIMBANGAN
daily_household,2016-11-10 00:00:00,2016,11,2016-11,Expense,Transportasi,7320.0,Cash,Expense,daily_household_transactions_clean.csv,daily_household,0,3,Thursday,10,2016-11,2016-11-10,0,45,0.0,1.0,0,1,1.0,late_night,0.5,neutral,0,8.898502209646642,-0.4761176470587929,0.4206470588235345,0.2969004893964111,0,daily_household_unknown_unknown,4,2438658.0,0.0030016509079993,0.0446316494183935,12617743.237561176,4932765.0,0.6090612317014122,0.0,0.6051617647058836,watch,PERTIMBANGAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,19000.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.852246888342531,-0.313961459298105,0.4476730901169825,0.3633663366336633,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0001871126663171,0.331737575641728,1392395.8305830583,10208210.0,0.0,0.0,0.4702516058625789,low,AMAN
ecommerce_sales,2025-02-12 10:54:00,2025,2,2025-02,Sales,Belanja,11000.0,Kartu Kredit/Debit,Selesai,ecommerce_sales_clean.csv,ecommerce_sales,10,2,Wednesday,12,2025-02,2025-02-12,0,7,0.4999999999999999,-0.8660254037844387,0,0,0.1666666666666666,morning,1.0,hedonic,1,9.305741456739437,-0.8692768858700349,0.3551205190216608,0.083058305830583,0,ecommerce_sales_unknown_unknown,1754,101543099.0,0.0001083283857625,0.1920585964241583,1392395.8305830583,12896125.0,0.0,0.0,0.4471134630887485,low,AMAN
ecommerce_sales,2025-11-18 11:11:00,2025,11,2025-11,Sales,Belanja,88897.0,COD (Bayar di Tempat),Selesai,ecommerce_sales_clean.csv,ecommerce_sales,11,1,Tuesday,18,2025-11,2025-11-18,0,47,0.258819045102521,-0.9659258262890682,0,0,0.0833333333333333,midday,1.0,hedonic,1,11.395244924061078,3.0,1.0,0.8921892189218922,0,ecommerce_sales_unknown_unknown,37,887365.0,0.1001808725834351,2.503098194435021,1392395.8305830583,1562748.0,0.0,0.0,0.5791666666666666,watch,PERTIMBANGAN
personal_finance,2020-06-11 00:00:00,2020,6,2020-06,Expense,Hiburan,1730.57,,Expense,personal_finance_clean.csv,personal_finance,0,3,Thursday,11,2020-06,2020-06-11,0,24,0.0,1.0,0,1,1.0,late_night,1.0,hedonic,1,7.45678379040042,0.7124953693471793,0.6187492282245298,0.7566666666666667,0,personal_finance_unknown_unknown,2,3678.51,0.4704540697183178,1.266738903729575,32688.022833333336,9395.25,0.7125782110498288,0.0,0.8046873070561323,high,IMPULSIF
